자료출처,자료대분류,자료중분류,자료소분류,자료형식,지역정보,검토 업체명,검토 업종명,파일명,파일명_id,보안 대상여부,첨부파일경로,작성일자,작성부서
1)내부,,3)업체정보,31,Excel,국내,,유아,BabyPlus_Startups_LongList_20171107,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171107,OI
1)내부,,3)업체정보,35,PDF,국내,"맘스다이어리, 엄마와, 세이베베, 크라잉베베, 베이비타임, 맘톡, 엄선, 차이의놀이, 맘비, 이유식노트, 베이비홈닥터",유아,BabyPlus_RelatedStartups_20171120,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171120,OI
1)내부,,3)업체정보,32,Excel,국내,,,DP 강남 입주사 현황,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180201,OI
1)내부,,3)업체정보,32,PPT,국내,,,3기입주사_소개자료(63DP),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180124,OI
1)내부,,3)업체정보,32,Word,국내,,,"DP 63 1,2기 스타트업 내용",,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170822,OI
1)내부,,3)업체정보,31,Word,해외,"InstaRem, RateX, Airwallex, Wirex, B2BPay, Payoneer, Worldfirst",Cross-border,180208_B2B외환송금업체 List,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180208,핀테크
1)내부,,2)컨택정보,21,Word,국내/싱가폴,"Moin, Instarem",Cross-border,"180212_Moin, Instarem 미팅노트",,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180212,핀테크
1)내부,,2)컨택정보,21,Word,국내,Sentbe,Cross-border,180221_Sentbe 미팅노트,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180221,핀테크
1)내부,,3)업체정보,31,Excel,국내외,,Cross-border,Cross border 업체 조사(2018.2월),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180201,핀테크
1)내부,,3)업체정보,22,Excel,국내외,"EMQ, 케이뱅크, 센트비, 모인, Wirex",Cross-border,Cross-border 관련 Contact list,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180226,핀테크
1)내부,,5)기타,51,PDF,국내,PAYCO,Lending,PAYCO 업무협력양해각서 20171108,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171108,핀테크
1)내부,,5)기타,52,Word,국내,PAYCO,Lending,SHINKIM-＃1127883-v4-PAYCO_포인트를_이용한_대출사업_영위_관련_질의에_대한_검토,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180223,핀테크
1)내부,,1)검토보고,12,Word,국내,PAYCO,Lending,페이코 사업 진행경과 보고,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170608,핀테크
1)내부,,1)검토보고,11,PPT,국내,PAYCO,Lending,한화크레딧_프로세스_20180213_v2 (1)_PAYCO수정안,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180203,핀테크
1)내부,,1)검토보고,12,Word,국내,티몬,Lending,SCF 사업 진행경과 보고 v1 20170608,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170608,핀테크
1)내부,,1)검토보고,11,Word,국내,티몬,Lending,SCF 사업추진 검토 보고 20180201,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180201,핀테크
1)내부,,1)검토보고,11,Word,국내,티몬,Lending,SCF 제휴사업 피버팅(안) 20180307,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180307,핀테크
1)내부,,5)기타,51,PDF,국내,티몬,Lending,티몬 업무협력양해각서 20171108,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171108,핀테크
1)내부,,1)검토보고,12,PPt,국내,케이뱅크,Lending,2018년 1분기케이뱅크은행_위험관리위원회_보고의_건  20180212,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180212,핀테크
1)내부,,1)검토보고,12,Word,국내,케이뱅크,Lending,케이뱅크은행 유상증자 결과 보고 20171016 v6,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171016,핀테크
1)내부,,2)컨택정보,22,Excel,국내,"페이코, 티몬, 케이뱅크",Lending,핀테크팀 이종사업자 제휴 Contact List,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180307,핀테크
1)내부,,2)컨택정보,21,Excel,해외,,블록체인,Blockshow_singapore 2017_Meeting List_171131,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171113,핀테크
1)내부,,2)컨택정보,21,Word,해외,,블록체인,뉴욕 출장_Blockchain_170913,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170913,핀테크
1)내부,,2)컨택정보,21,Excel,해외,,블록체인,블록체인 출장 내용 정리_20171113,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171113,핀테크
1)내부,,3)업체정보,31,Excel,해외,,블록체인,에너지 분야 블록체인 벤처 기업 현황 조사_잠재대상검토_180130,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180130,핀테크
1)내부,,3)업체정보,35,Word,일본,M3,의료포탈,17008_R_M3관련_(드림플러스)_20170220,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170220,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,FIBC,금융관련 서비스 제공 스타트업,17012_R_FIBC 이벤트 관련_(드림플러스63)_20170309,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170309,동경주재사무소
1)내부,,3)업체정보,35,PPT,일본,MUFG,블록체인,17024_R_MUFG 핀테크 추진과제_(핀테크TF)20170425,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170425,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,RIZAP,건강 관련 사업,17043_일본_RIZAP 회사 조사_(드림플러스 20170925),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170925,동경주재사무소
1)내부,,2)컨택정보,21,Word,일본,RIZAP,건강 관련 사업,17043-1_RIZAP 미팅 내용_20170929,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170929,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,메루카리,중고판매시장,17042_메루카리 현황 조사_20171122(해외파트),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171122,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,"East Ventures, CyberAgent Ventures, Spiral Ventures(구IMJ investment partners), GREE Ventures",일본계 VC,17054_동남아 투자 일본계 주요VC_(해외파트) _20171128,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171128,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,소프트뱅크,해외사업투자,17055_소프트뱅크 투자 관련_(해외파트) _20171130,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171130,동경주재사무소
1)내부,,3)업체정보,37,Excel,국내,,,외주업체 List,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180309,DPM팀
1)내부,,3)업체정보,38,Excel,국내,,,라플앱 관련_활용가능 피투자사 리스트,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180313,브랜드전략팀
1)내부,,1)검토보고,12,Excel,,,,H-LAB 업무 추진 현황_2월2주차,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180222,전략투자추진팀
